stage,iteration,temperature,current_cost,new_cost,best_cost,current_distance,best_distance,accepted,reward,rem_idx,ins_idx,noise_idx,q_removed,unassigned,is_unvisited
stage1,15,215.6721576521148,3071.232706352379,3065.829582114946,2994.0896403419306,3065.829582114946,2994.0896403419306,1,0.0015833420253801606,0,0,0,7,0,1
stage1,16,215.6700009305383,3065.829582114946,3061.439455255937,2994.0896403419306,3061.439455255937,2994.0896403419306,1,0.0012887585781536964,1,0,0,4,0,1
stage1,17,215.667844230529,3061.439455255937,3061.295658768957,2994.0896403419306,3061.295658768957,2994.0896403419306,1,4.2273198661478456e-05,1,0,1,10,0,1
stage1,18,215.6656875520867,3061.295658768957,3066.367990748789,2994.0896403419306,3066.367990748789,2994.0896403419306,1,-0.0014912309331417853,2,0,1,7,0,1
stage1,19,215.66353089521118,3066.367990748789,103188.3424956391,2994.0896403419306,3066.367990748789,2994.0896403419306,0,-6.559127105927445,0,0,1,9,0,1
stage1,20,215.66137425990223,3066.367990748789,3073.223775094068,2994.0896403419306,3073.223775094068,2994.0896403419306,1,-0.0020122196453154426,0,0,1,5,0,1
stage1,21,215.65921764615965,3073.223775094068,3070.8992197737316,2994.0896403419306,3070.8992197737316,2994.0896403419306,1,0.0006807508796650433,0,0,0,9,0,1
stage1,22,215.6570610539832,3070.8992197737316,3065.5011615743633,2994.0896403419306,3065.5011615743633,2994.0896403419306,1,0.0015820292467264407,2,0,1,4,0,1
stage1,23,215.65490448337266,3065.5011615743633,3064.8260398968187,2994.0896403419306,3064.8260398968187,2994.0896403419306,1,0.00019820886627168883,2,0,0,11,0,1
stage1,24,215.65274793432783,3064.8260398968187,3058.870485327875,2994.0896403419306,3058.870485327875,2994.0896403419306,1,0.0017488754801331936,2,0,1,6,0,1
stage1,25,215.6505914068485,3058.870485327875,3068.6734434489367,2994.0896403419306,3068.6734434489367,2994.0896403419306,1,-0.002884287632076661,1,0,1,9,0,1
stage1,26,215.64843490093443,3068.6734434489367,3063.969689838444,2994.0896403419306,3063.969689838444,2994.0896403419306,1,0.0013795466762619767,0,0,0,6,0,1
stage1,27,215.64627841658543,3063.969689838444,3059.5456070054197,2994.0896403419306,3059.5456070054197,2994.0896403419306,1,0.0012995149928953413,0,0,1,4,0,1
stage1,28,215.6441219538013,3059.5456070054197,3059.5456070054197,2994.0896403419306,3059.5456070054197,2994.0896403419306,1,0.0,0,0,0,9,0,0
stage1,29,215.64196551258175,3059.5456070054197,3054.808389728976,2994.0896403419306,3054.808389728976,2994.0896403419306,1,0.0013935061268696468,1,0,0,4,0,1
stage1,30,215.63980909292664,3054.808389728976,3055.213126899276,2994.0896403419306,3055.213126899276,2994.0896403419306,1,-0.00011924265184511733,0,0,1,9,0,1
stage1,31,215.6376526948357,3055.213126899276,3046.015008445915,2994.0896403419306,3046.015008445915,2994.0896403419306,1,0.0027095676354423723,1,0,0,8,0,1
stage1,32,215.63549631830878,3046.015008445915,3044.5810300457047,2994.0896403419306,3044.5810300457047,2994.0896403419306,1,0.00042369474760002877,0,0,0,12,0,1
stage1,33,215.6333399633456,3044.5810300457047,3044.5810300457047,2994.0896403419306,3044.5810300457047,2994.0896403419306,1,0.0,1,0,0,5,0,0
stage1,34,215.63118362994598,3044.5810300457047,3094.062646697219,2994.0896403419306,3094.062646697219,2994.0896403419306,1,-0.014627120955849327,0,0,1,11,0,1
stage1,35,215.62902731810968,3094.062646697219,3235.183688926374,2994.0896403419306,3235.183688926374,2994.0896403419306,1,-0.041049245768121814,0,0,1,10,0,1
stage1,36,215.6268710278365,3235.183688926374,3228.1126211145083,2994.0896403419306,3228.1126211145083,2994.0896403419306,1,0.0019671096427885133,2,0,0,4,0,1
stage1,37,215.62471475912622,3228.1126211145083,3220.589130025969,2994.0896403419306,3220.589130025969,2994.0896403419306,1,0.0020975544457143397,0,0,0,12,0,1
stage1,38,215.62255851197864,3220.589130025969,3107.4566444819066,2994.0896403419306,3107.4566444819066,2994.0896403419306,1,0.03161509676611101,1,0,0,12,0,1
stage1,39,215.62040228639353,3107.4566444819066,3090.2254891298303,2994.0896403419306,3090.2254891298303,2994.0896403419306,1,0.004990589279630713,2,0,0,9,0,1
stage1,40,215.61824608237066,3090.2254891298303,3082.773266503539,2994.0896403419306,3082.773266503539,2994.0896403419306,1,0.0021703918976963155,0,0,0,8,0,1
stage1,41,215.61608989990984,3082.773266503539,3082.773266503539,2994.0896403419306,3082.773266503539,2994.0896403419306,1,0.0,2,0,0,10,0,0
